id,alert_id,header,severity,effect,cause,active_period_start,active_period_end,fetched_at
71066,1008777,Green Line E Branch: Symphony station is closed for major accessibility upgrades. Riders can use Prudential or Northeastern to access E Branch service. Construction is expected to last approximately 3 years.,7,STATION_CLOSURE,CONSTRUCTION,2026-06-06 07:00:00+00:00,,2026-06-29 21:17:19.194055+00:00
71065,1016837,"Red Line: Shuttle buses replace service between Alewife and Park Street from Tuesday, July 21 through Thursday, July 30, for infrastructure upgrades. Riders can also use Commuter Rail, and existing bus routes, as alternatives.",7,SHUTTLE,MAINTENANCE,2026-07-21 07:00:00+00:00,2026-07-31 07:00:00+00:00,2026-06-29 21:17:19.194052+00:00
71064,1010942,"Outbound Green Line C trains (toward Cleveland Circle) will not stop at Tappan Street through Friday, July 10, due to infrastructure upgrades. Riders can board or exit one stop away, at either Washington Square or Dean Road.",7,STATION_CLOSURE,MAINTENANCE,2026-06-22 07:00:00+00:00,2026-07-11 07:00:00+00:00,2026-06-29 21:17:19.194048+00:00
71063,1010951,"Outbound Green Line C Branch trains (toward Cleveland Circle) will not stop at Englewood Avenue through Friday, July 10. Riders can board one stop away at Dean Road and exit at either Dean Road or Cleveland Circle.",7,STATION_CLOSURE,MAINTENANCE,2026-05-18 07:00:00+00:00,2026-07-11 07:00:00+00:00,2026-06-29 21:17:19.194044+00:00
71062,1001861,The stairway connecting the Jackson Square lobby and the south end of the platform is closed until winter 2026. Use the stairway at the north end of the platform. This closure is for the construction of a new stairway and a second elevator.,1,STATION_ISSUE,CONSTRUCTION,2025-06-30 07:00:00+00:00,,2026-06-29 21:17:19.194040+00:00
71061,1018926,Blue Line: Delays of about 15 minutes due to a signal problem at Wonderland. Trains may stand by at stations.,4,DELAY,SIGNAL_PROBLEM,2026-06-29 20:37:20+00:00,2026-06-29 23:17:00+00:00,2026-06-29 21:17:19.194036+00:00
71060,1001814,"The platform at Jackson Square is undergoing renovations to improve safety and accessibility. Sections of the platform are unlevel, which may make it difficult for some riders to board and exit trains.",1,STATION_ISSUE,UNKNOWN_CAUSE,2025-09-27 07:00:00+00:00,,2026-06-29 21:17:19.194028+00:00
71059,1008777,Green Line E Branch: Symphony station is closed for major accessibility upgrades. Riders can use Prudential or Northeastern to access E Branch service. Construction is expected to last approximately 3 years.,7,STATION_CLOSURE,CONSTRUCTION,2026-06-06 07:00:00+00:00,,2026-06-29 20:17:29.350280+00:00
71058,1016837,"Red Line: Shuttle buses replace service between Alewife and Park Street from Tuesday, July 21 through Thursday, July 30, for infrastructure upgrades. Riders can also use Commuter Rail, and existing bus routes, as alternatives.",7,SHUTTLE,MAINTENANCE,2026-07-21 07:00:00+00:00,2026-07-31 07:00:00+00:00,2026-06-29 20:17:29.350277+00:00
71057,1010942,"Outbound Green Line C trains (toward Cleveland Circle) will not stop at Tappan Street through Friday, July 10, due to infrastructure upgrades. Riders can board or exit one stop away, at either Washington Square or Dean Road.",7,STATION_CLOSURE,MAINTENANCE,2026-06-22 07:00:00+00:00,2026-07-11 07:00:00+00:00,2026-06-29 20:17:29.350274+00:00
71056,1010951,"Outbound Green Line C Branch trains (toward Cleveland Circle) will not stop at Englewood Avenue through Friday, July 10. Riders can board one stop away at Dean Road and exit at either Dean Road or Cleveland Circle.",7,STATION_CLOSURE,MAINTENANCE,2026-05-18 07:00:00+00:00,2026-07-11 07:00:00+00:00,2026-06-29 20:17:29.350271+00:00
71055,1001861,The stairway connecting the Jackson Square lobby and the south end of the platform is closed until winter 2026. Use the stairway at the north end of the platform. This closure is for the construction of a new stairway and a second elevator.,1,STATION_ISSUE,CONSTRUCTION,2025-06-30 07:00:00+00:00,,2026-06-29 20:17:29.350268+00:00
71054,1018913,Red Line: Delays of about 15 minutes due to an earlier medical emergency at Harvard. Service is proceeding.,4,DELAY,MEDICAL_EMERGENCY,2026-06-29 19:50:50+00:00,2026-06-29 22:17:00+00:00,2026-06-29 20:17:29.350264+00:00
71053,1001814,"The platform at Jackson Square is undergoing renovations to improve safety and accessibility. Sections of the platform are unlevel, which may make it difficult for some riders to board and exit trains.",1,STATION_ISSUE,UNKNOWN_CAUSE,2025-09-27 07:00:00+00:00,,2026-06-29 20:17:29.350254+00:00
