id,vehicle_id,route,latitude,longitude,bearing,speed,current_status,occupancy_status,fetched_at
742912,B-548A672A,Blue,42.41576,-70.99041,200,,IN_TRANSIT_TO,,2026-06-29 21:17:19.077534+00:00
742911,B-548A78A6,Blue,42.4135,-70.99162,20,,STOPPED_AT,,2026-06-29 21:17:19.077532+00:00
742910,B-548A78BA,Blue,42.39594,-70.99338,30,,INCOMING_AT,,2026-06-29 21:17:19.077529+00:00
742909,B-548A78C4,Blue,42.38716,-71.00382,55,,INCOMING_AT,,2026-06-29 21:17:19.077527+00:00
742908,B-548A78CA,Blue,42.37968,-71.02276,65,,STOPPED_AT,,2026-06-29 21:17:19.077525+00:00
742907,B-548A78E4,Blue,42.40322,-70.99188,170,,INCOMING_AT,,2026-06-29 21:17:19.077522+00:00
742906,B-548A7AC4,Blue,42.36128,-71.06312,270,,IN_TRANSIT_TO,,2026-06-29 21:17:19.077519+00:00
742905,B-548A7AD6,Blue,42.40269,-70.99175,350,,INCOMING_AT,,2026-06-29 21:17:19.077516+00:00
742904,B-548A7AD8,Blue,42.37816,-71.02587,225,,INCOMING_AT,,2026-06-29 21:17:19.077512+00:00
742903,B-548A7B11,Blue,42.36115,-71.06208,105,,STOPPED_AT,,2026-06-29 21:17:19.077509+00:00
742902,B-548A7B2C,Blue,42.36382,-71.04406,40,,INCOMING_AT,,2026-06-29 21:17:19.077507+00:00
742901,B-548A7B9A,Blue,42.35908,-71.05509,260,,INCOMING_AT,,2026-06-29 21:17:19.077504+00:00
742900,G-10008,Green-E,42.36563,-71.06058,135,,STOPPED_AT,,2026-06-29 21:17:19.077500+00:00
742899,G-10014,Green-E,42.36427,-71.05936,135,,IN_TRANSIT_TO,,2026-06-29 21:17:19.077497+00:00
742898,G-10015,Green-E,42.37926,-71.08652,145,5.7,IN_TRANSIT_TO,,2026-06-29 21:17:19.077494+00:00
742897,G-10031,Green-E,42.4084,-71.11749,331,1.5,STOPPED_AT,,2026-06-29 21:17:19.077491+00:00
742896,G-10033,Green-E,42.33478,-71.10324,45,4.9,STOPPED_AT,,2026-06-29 21:17:19.077488+00:00
742895,G-10040,Green-E,42.36574,-71.06466,300,,INCOMING_AT,,2026-06-29 21:17:19.077485+00:00
742894,G-10095,Green-E,42.35018,-71.0771,240,,STOPPED_AT,,2026-06-29 21:17:19.077482+00:00
742893,G-10099,Green-E,42.40037,-71.11127,331,5.4,STOPPED_AT,,2026-06-29 21:17:19.077479+00:00
742892,G-10106,Green-E,42.33318,-71.10986,270,4.9,INCOMING_AT,,2026-06-29 21:17:19.077476+00:00
742891,G-10113,Green-E,42.33613,-71.09959,45,5.1,STOPPED_AT,,2026-06-29 21:17:19.077473+00:00
742890,G-10126,Green-E,42.36238,-71.05804,175,,STOPPED_AT,,2026-06-29 21:17:19.077470+00:00
742889,G-10211,Green-E,42.36961,-71.07338,305,10.4,INCOMING_AT,,2026-06-29 21:17:19.077467+00:00
742888,G-10244,Green-E,42.3518,-71.07081,60,,INCOMING_AT,,2026-06-29 21:17:19.077463+00:00
742887,G-10283,Green-E,42.34534,-71.0817,45,,STOPPED_AT,,2026-06-29 21:17:19.077460+00:00
742886,G-10009,Green-D,42.33196,-71.13286,135,18.0,IN_TRANSIT_TO,,2026-06-29 21:17:19.077457+00:00
742885,G-10036,Green-D,42.3285,-71.1759,315,7.9,IN_TRANSIT_TO,,2026-06-29 21:17:19.077454+00:00
742884,G-10054,Green-D,42.35559,-71.06334,210,,INCOMING_AT,,2026-06-29 21:17:19.077450+00:00
742883,G-10080,Green-D,42.36234,-71.05804,175,,IN_TRANSIT_TO,,2026-06-29 21:17:19.077448+00:00
742882,G-10084,Green-D,42.36316,-71.05827,145,,IN_TRANSIT_TO,,2026-06-29 21:17:19.077444+00:00
742881,G-10096,Green-D,42.36633,-71.0669,120,6.2,IN_TRANSIT_TO,,2026-06-29 21:17:19.077441+00:00
742880,G-10104,Green-D,42.37705,-71.09396,300,,STOPPED_AT,,2026-06-29 21:17:19.077438+00:00
742879,G-10117,Green-D,42.35301,-71.06454,20,,INCOMING_AT,,2026-06-29 21:17:19.077434+00:00
742878,G-10121,Green-D,42.32566,-71.23042,135,5.4,STOPPED_AT,,2026-06-29 21:17:19.077431+00:00
742877,G-10124,Green-D,42.34881,-71.09509,90,,STOPPED_AT,,2026-06-29 21:17:19.077427+00:00
742876,G-10140,Green-D,42.33723,-71.25208,135,4.7,STOPPED_AT,,2026-06-29 21:17:19.077424+00:00
742875,G-10180,Green-D,42.37569,-71.08746,305,11.3,IN_TRANSIT_TO,,2026-06-29 21:17:19.077420+00:00
742874,G-10200,Green-D,42.37695,-71.09396,120,,STOPPED_AT,,2026-06-29 21:17:19.077417+00:00
742873,G-10230,Green-D,42.33914,-71.1114,180,16.4,INCOMING_AT,,2026-06-29 21:17:19.077414+00:00
742872,G-10238,Green-D,42.35164,-71.07172,240,,INCOMING_AT,,2026-06-29 21:17:19.077411+00:00
742871,G-10255,Green-D,42.32848,-71.23443,315,12.4,INCOMING_AT,,2026-06-29 21:17:19.077409+00:00
742870,G-10278,Green-D,42.31815,-71.2147,315,13.1,INCOMING_AT,,2026-06-29 21:17:19.077407+00:00
742869,G-10284,Green-D,42.34996,-71.07792,240,,INCOMING_AT,,2026-06-29 21:17:19.077404+00:00
742868,G-10020,Green-C,42.33625,-71.14902,225,,STOPPED_AT,,2026-06-29 21:17:19.077400+00:00
742867,G-10022,Green-C,42.33625,-71.14902,225,,STOPPED_AT,,2026-06-29 21:17:19.077397+00:00
742866,G-10027,Green-C,42.35556,-71.06326,210,,INCOMING_AT,,2026-06-29 21:17:19.077394+00:00
742865,G-10059,Green-C,42.34862,-71.0976,60,,INCOMING_AT,,2026-06-29 21:17:19.077391+00:00
742864,G-10077,Green-C,42.33759,-71.14246,45,6.4,STOPPED_AT,,2026-06-29 21:17:19.077388+00:00
742863,G-10086,Green-C,42.34087,-71.12639,225,4.3,INCOMING_AT,,2026-06-29 21:17:19.077385+00:00
742862,G-10098,Green-C,42.33625,-71.14902,225,,STOPPED_AT,,2026-06-29 21:17:19.077381+00:00
742861,G-10183,Green-C,42.34997,-71.07748,60,,INCOMING_AT,,2026-06-29 21:17:19.077377+00:00
742860,G-10227,Green-C,42.34878,-71.09705,240,,IN_TRANSIT_TO,,2026-06-29 21:17:19.077373+00:00
742859,G-10240,Green-C,42.34195,-71.12198,45,5.0,STOPPED_AT,,2026-06-29 21:17:19.077370+00:00
742858,G-10276,Green-C,42.35929,-71.05951,215,,INCOMING_AT,,2026-06-29 21:17:19.077366+00:00
742857,G-10279,Green-C,42.3518,-71.07081,60,,INCOMING_AT,,2026-06-29 21:17:19.077362+00:00
742856,G-10019,Green-B,42.35305,-71.06457,200,,IN_TRANSIT_TO,,2026-06-29 21:17:19.077359+00:00
742855,G-10035,Green-B,42.34918,-71.10006,135,4.3,STOPPED_AT,,2026-06-29 21:17:19.077355+00:00
742854,G-10046,Green-B,42.35164,-71.07172,240,,INCOMING_AT,,2026-06-29 21:17:19.077352+00:00
742853,G-10049,Green-B,42.35551,-71.06316,30,,STOPPED_AT,,2026-06-29 21:17:19.077348+00:00
742852,G-10057,Green-B,42.3518,-71.07081,60,,INCOMING_AT,,2026-06-29 21:17:19.077345+00:00
742851,G-10075,Green-B,42.34027,-71.16688,0,2.3,STOPPED_AT,,2026-06-29 21:17:19.077342+00:00
742850,G-10083,Green-B,42.34413,-71.14262,225,3.9,STOPPED_AT,,2026-06-29 21:17:19.077340+00:00
742849,G-10101,Green-B,42.35213,-71.12407,315,4.2,INCOMING_AT,,2026-06-29 21:17:19.077337+00:00
742848,G-10103,Green-B,42.33842,-71.15491,135,5.6,IN_TRANSIT_TO,,2026-06-29 21:17:19.077334+00:00
742847,G-10118,Green-B,42.34925,-71.10008,315,4.8,STOPPED_AT,,2026-06-29 21:17:19.077331+00:00
742846,G-10234,Green-B,42.34672,-71.14088,45,7.9,INCOMING_AT,,2026-06-29 21:17:19.077328+00:00
742845,G-10241,Green-B,42.35097,-71.11483,135,5.8,STOPPED_AT,,2026-06-29 21:17:19.077325+00:00
742844,O-548A700A,Orange,42.43773,-71.07093,185,,STOPPED_AT,,2026-06-29 21:17:19.077321+00:00
742843,O-548A74B4,Orange,42.38425,-71.07695,355,,STOPPED_AT,,2026-06-29 21:17:19.077318+00:00
742842,O-548A74B8,Orange,42.38868,-71.07707,175,,INCOMING_AT,,2026-06-29 21:17:19.077316+00:00
742841,O-548A74BF,Orange,42.37736,-71.07505,150,,INCOMING_AT,,2026-06-29 21:17:19.077313+00:00
742840,O-548A78A9,Orange,42.35235,-71.06259,5,,STOPPED_AT,,2026-06-29 21:17:19.077310+00:00
742839,O-548A78AA,Orange,42.31001,-71.10782,30,,STOPPED_AT,,2026-06-29 21:17:19.077308+00:00
742838,O-548A78B7,Orange,42.30119,-71.11376,30,,STOPPED_AT,,2026-06-29 21:17:19.077306+00:00
742837,O-548A78BD,Orange,42.30122,-71.11384,30,,STOPPED_AT,,2026-06-29 21:17:19.077303+00:00
742836,O-548A78C3,Orange,42.34093,-71.08425,220,,STOPPED_AT,,2026-06-29 21:17:19.077299+00:00
742835,O-548A78C7,Orange,42.36514,-71.05999,330,,STOPPED_AT,,2026-06-29 21:17:19.077296+00:00
742834,O-548A78D0,Orange,42.35538,-71.06065,205,,STOPPED_AT,,2026-06-29 21:17:19.077293+00:00
742833,O-548A78DA,Orange,42.42668,-71.07428,20,,STOPPED_AT,,2026-06-29 21:17:19.077290+00:00
742832,O-548A78E7,Orange,42.42322,-71.07574,200,,IN_TRANSIT_TO,,2026-06-29 21:17:19.077287+00:00
742831,O-548A7AAD,Orange,42.34086,-71.0841,40,,STOPPED_AT,,2026-06-29 21:17:19.077284+00:00
742830,O-548A7B99,Orange,42.34767,-71.07464,265,,STOPPED_AT,,2026-06-29 21:17:19.077281+00:00
742829,O-548A7BA7,Orange,42.361,-71.05779,175,,INCOMING_AT,,2026-06-29 21:17:19.077278+00:00
742828,O-548A7BBA,Orange,42.43772,-71.0708,185,,STOPPED_AT,,2026-06-29 21:17:19.077274+00:00
742827,B-548A672A,Blue,42.41576,-70.99041,200,,IN_TRANSIT_TO,,2026-06-29 21:17:19.077271+00:00
742826,B-548A78A6,Blue,42.4135,-70.99162,20,,STOPPED_AT,,2026-06-29 21:17:19.077268+00:00
742825,B-548A78BA,Blue,42.39594,-70.99338,30,,INCOMING_AT,,2026-06-29 21:17:19.077265+00:00
742824,B-548A78C4,Blue,42.38716,-71.00382,55,,INCOMING_AT,,2026-06-29 21:17:19.077262+00:00
742823,B-548A78CA,Blue,42.37968,-71.02276,65,,STOPPED_AT,,2026-06-29 21:17:19.077258+00:00
742822,B-548A78E4,Blue,42.40322,-70.99188,170,,INCOMING_AT,,2026-06-29 21:17:19.077255+00:00
742821,B-548A7AC4,Blue,42.36128,-71.06312,270,,IN_TRANSIT_TO,,2026-06-29 21:17:19.077252+00:00
742820,B-548A7AD6,Blue,42.40269,-70.99175,350,,INCOMING_AT,,2026-06-29 21:17:19.077249+00:00
742819,B-548A7AD8,Blue,42.37816,-71.02587,225,,INCOMING_AT,,2026-06-29 21:17:19.077246+00:00
742818,B-548A7B11,Blue,42.36115,-71.06208,105,,STOPPED_AT,,2026-06-29 21:17:19.077243+00:00
